symbol,epic,type,expiry,marginFactor,minDealSize
"ACWX","ACWX","-","-","",""
"ACX","ACX","-","-","",""
"ACXP","ACXP","-","-","",""
"ACXUSD","ACXUSD","-","-","",""
"AD8AU","AD8AU","-","-","",""
"ADABTC","ADABTC","-","-","",""
"AD","AD","-","-","",""
"ADAG","ADAG","-","-","",""
"ADAP","ADAP","-","-","",""
"ADAUSD","ADAUSD","-","-","",""
"ADAVIATION","ADAVIATION","-","-","",""
"ADBE","ADBE","-","-","",""
"ADCB","ADCB","-","-","",""
"ADEN","ADEN","-","-","",""
"ADF","ADF","-","-","",""
"ADHAU","ADHAU","-","-","",""
"ADI","ADI","-","-","",""
"ADIB","ADIB","-","-","",""
"ADM","ADM","-","-","",""
"ADML","ADML","-","-","",""
"ADN","ADN","-","-","",""
"ADNH","ADNH","-","-","",""
"ADNIC","ADNIC","-","-","",""
"ADNOCDIST","ADNOCDIST","-","-","",""
"ADNOCDRILL","ADNOCDRILL","-","-","",""
"ADNOCGAS","ADNOCGAS","-","-","",""
"ADNOCLS","ADNOCLS","-","-","",""
"ADNSG","ADNSG","-","-","",""
"ADOCP","ADOCP","-","-","",""
"ADP","ADP","-","-","",""
"ADPORTS","ADPORTS","-","-","",""
"ADPP","ADPP","-","-","",""
"ADSB","ADSB","-","-","",""
"ADSGN","ADSGN","-","-","",""
"ADSK","ADSK","-","-","",""
"ADT","ADT","-","-","",""
"ADV","ADV","-","-","",""
"ADVM","ADVM","-","-","",""
"ADVT","ADVT","-","-","",""
"ADX","ADX","-","-","",""
"ADXUSD","ADXUSD","-","-","",""
"ADYENA","ADYENA","-","-","",""
"AEDAS","AEDAS","-","-","",""
"AEE","AEE","-","-","",""
"AEFAU","AEFAU","-","-","",""
"AEGN","AEGN","-","-","",""
"AEHR","AEHR","-","-","",""
"AEI","AEI","-","-","",""
"AEIN","AEIN","-","-","",""
"AEL","AEL","-","-","",""
"AEM","AEM","-","-","",""
"AEMD","AEMD","-","-","",""
"AENA","AENA","-","-","",""
"AEO","AEO","-","-","",""
"AEP","AEP","-","-","",""
"AER","AER","-","-","",""
"AEROUSD","AEROUSD","-","-","",""
"AES","AES","-","-","",""
"AETGB","AETGB","-","-","",""
"AEVOUSD","AEVOUSD","-","-","",""
"AFCG","AFCG","-","-","",""
"AFEN","AFEN","-","-","",""
"AFIAU","AFIAU","-","-","",""
"AFL","AFL","-","-","",""
"AFP","AFP","-","-","",""
"AFRM","AFRM","-","-","",""
"AFRY","AFRY","-","-","",""
"AFX","AFX","-","-","",""
"AG1","AG1","-","-","",""
"AG","AG","-","-","",""
"AGFY","AGFY","-","-","",""
"AGILITY","AGILITY","-","-","",""
"AGL","AGL","-","-","",""
"AGLAU","AGLAU","-","-","",""
"AGLDUSD","AGLDUSD","-","-","",""
"AGLGB","AGLGB","-","-","",""
"AGM","AGM","-","-","",""
"AGNR","AGNR","-","-","",""
"AGQ","AGQ","-","-","",""
"AGRGBP","AGRGBP","-","-","",""
"AGTHIA","AGTHIA","-","-","",""
"AGX","AGX","-","-","",""
"AHG","AHG","-","-","",""
"AHH","AHH","-","-","",""
"AHTL","AHTL","-","-","",""
"AI16ZUSD","AI16ZUSD","-","-","",""
"AIAAU","AIAAU","-","-","",""
"AI","AI","-","-","",""
"AIDOGEUSD","AIDOGEUSD","-","-","",""
"AIEQ","AIEQ","-","-","",""
"AIFR","AIFR","-","-","",""
"AIFU","AIFU","-","-","",""
"AIG","AIG","-","-","",""
"AIQ","AIQ","-","-","",""
"AIRA","AIRA","-","-","",""
"AIRE","AIRE","-","-","",""
"AIRFR","AIRFR","-","-","",""
"AIRS","AIRS","-","-","",""
"AIRUSD","AIRUSD","-","-","",""
"AIT","AIT","-","-","",""
"AIXA","AIXA","-","-","",""
"AIXBTUSD","AIXBTUSD","-","-","",""
"AIYSG","AIYSG","-","-","",""
"AIZAU","AIZAU","-","-","",""
"AJB","AJB","-","-","",""
"AJBNK","AJBNK","-","-","",""
"AJBUSG","AJBUSG","-","-","",""
"AJG","AJG","-","-","",""
"AKR","AKR","-","-","",""
"AKSO","AKSO","-","-","",""
"AKTUSD","AKTUSD","-","-","",""
"AKZO","AKZO","-","-","",""
"ALAB","ALAB","-","-","",""
"AL","AL","-","-","",""
"ALANSARI","ALANSARI","-","-","",""
"ALB","ALB","-","-","",""
"ALC","ALC","-","-","",""
"ALCXUSD","ALCXUSD","-","-","",""
"ALDAR","ALDAR","-","-","",""
"ALDAU","ALDAU","-","-","",""
"ALEC","ALEC","-","-","",""
"ALFASE","ALFASE","-","-","",""
"ALFH","ALFH","-","-","",""
"ALG","ALG","-","-","",""
"ALGOUSD","ALGOUSD","-","-","",""
"ALGS","ALGS","-","-","",""
"ALICEUSD","ALICEUSD","-","-","",""
"ALIG","ALIG","-","-","",""
"ALIVSDB","ALIVSDB","-","-","",""
"ALK","ALK","-","-","",""
"ALKAU","ALKAU","-","-","",""
"ALKT","ALKT","-","-","",""
"ALLA","ALLA","-","-","",""
"ALL","ALL","-","-","",""
"ALLAU","ALLAU","-","-","",""
"ALLFG","ALLFG","-","-","",""
"ALLN","ALLN","-","-","",""
"ALLO","ALLO","-","-","",""
"ALM","ALM","-","-","",""
"ALO","ALO","-","-","",""
"ALPHADHABI","ALPHADHABI","-","-","",""
"ALPH","ALPH","-","-","",""
"ALPHAUSD","ALPHAUSD","-","-","",""
"ALPINEUSD","ALPINEUSD","-","-","",""
"ALQAU","ALQAU","-","-","",""
"ALRN","ALRN","-","-","",""
"ALT","ALT","-","-","",""
"ALTN","ALTN","-","-","",""
"ALTO","ALTO","-","-","",""
"ALTUSD","ALTUSD","-","-","",""
"ALUG","ALUG","-","-","",""
"ALUMINUM","ALUMINUM","-","-","",""
"ALV","ALV","-","-","",""
"ALVD","ALVD","-","-","",""
"ALW","ALW","-","-","",""
"ALX","ALX","-","-","",""
"ALXAU","ALXAU","-","-","",""
"ALXO","ALXO","-","-","",""
"ALZN","ALZN","-","-","",""
"AMAAU","AMAAU","-","-","",""
"AMAE","AMAE","-","-","",""
"AMANT","AMANT","-","-","",""
"AMAT","AMAT","-","-","",""
"AMBA","AMBA","-","-","",""
"AMBQ","AMBQ","-","-","",""
